INDICATIVO,AÑO,MES,NOMBRE,ALTITUD,LONGITUD,LATITUD,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31
0390D,1992,1,OLOT (PARC NOU),440,228471,421015,0,0,0,0,0,0,0,0,0,26,5,172,0,0,0,0,0,0,0,0,70,250,1800,105,0,0,0,0,0,0,0
0390D,1992,2,OLOT (PARC NOU),440,228471,421015,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,6,0,0,0,0,40,20,92,13,0,0,,
0390D,1992,3,OLOT (PARC NOU),440,228471,421015,0,0,0,100,316,15,0,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,160,0,0,0,0,70,0
0390D,1992,4,OLOT (PARC NOU),440,228471,421015,0,0,0,255,6,0,20,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0390D,1992,5,OLOT (PARC NOU),440,228471,421015,0,437,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,120,80,60,100,0,280,10,0,0,0,0,65,150
0390D,1992,6,OLOT (PARC NOU),440,228471,421015,385,1,115,45,0,292,83,30,160,0,83,3,42,39,0,0,19,78,17,448,0,158,5,34,20,0,0,0,0,0,
0390D,1992,7,OLOT (PARC NOU),440,228471,421015,80,0,0,387,480,138,23,143,174,119,0,0,0,0,0,36,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0
0390D,1992,8,OLOT (PARC NOU),440,228471,421015,0,18,0,62,0,0,0,455,0,0,0,0,0,251,70,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
0390D,1992,9,OLOT (PARC NOU),440,228471,421015,0,0,0,14,0,0,820,-3,44,0,0,0,0,0,0,0,0,0,0,0,50,14,22,0,0,900,0,0,0,0,
0390D,1992,10,OLOT (PARC NOU),440,228471,421015,0,156,0,17,0,88,176,556,0,0,37,8,82,0,0,90,210,28,65,0,6,0,0,0,0,0,0,0,10,22,208
0390D,1992,11,OLOT (PARC NOU),440,228471,421015,178,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0390D,1992,12,OLOT (PARC NOU),440,228471,421015,0,0,0,54,0,4,48,0,0,0,0,0,0,0,0,45,20,0,0,0,0,30,0,840,310,48,0,0,0,0,0
0390D,1993,1,OLOT (PARC NOU),440,228471,421015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115
0390D,1993,2,OLOT (PARC NOU),440,228471,421015,75,0,0,623,57,0,18,217,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
0390D,1993,3,OLOT (PARC NOU),440,228471,421015,278,68,0,0,0,0,0,55,0,178,0,0,150,195,0,0,0,0,0,0,20,82,0,128,0,0,0,0,0,0,0
0390D,1993,4,OLOT (PARC NOU),440,228471,421015,193,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,161,33,61,211,0,512,0,
0390D,1993,5,OLOT (PARC NOU),440,228471,421015,122,0,0,0,0,38,155,0,0,171,17,149,6,138,202,0,0,0,88,0,0,0,0,0,0,14,0,0,0,0,0
0390D,1993,6,OLOT (PARC NOU),440,228471,421015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,171,20,10,0,0,0,0,0,278,
0390D,1993,7,OLOT (PARC NOU),440,228471,421015,493,15,0,0,0,0,0,0,0,229,2,0,0,0,0,0,0,0,0,6,8,0,0,0,55,0,0,0,0,0,0
0390D,1993,8,OLOT (PARC NOU),440,228471,421015,0,0,2,0,0,250,0,129,0,0,0,60,0,23,0,0,0,0,0,0,0,0,1,291,0,0,0,0,0,0,0
0390D,1993,9,OLOT (PARC NOU),440,228471,421015,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,283,0,6,110,18,0,165,83,
0390D,1993,10,OLOT (PARC NOU),440,228471,421015,0,8,0,0,47,0,10,0,0,0,0,0,30,0,0,46,0,369,0,98,33,0,0,0,0,0,344,122,25,216,320
0390D,1993,11,OLOT (PARC NOU),440,228471,421015,81,0,0,140,11,72,57,60,0,8,0,9,0,0,0,0,0,0,0,0,0,0,0,42,15,0,0,0,0,0,
0390D,1993,12,OLOT (PARC NOU),440,228471,421015,113,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,38
0390D,1994,1,OLOT (PARC NOU),440,228471,421015,0,0,0,0,0,292,88,0,0,7,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0390D,1994,2,OLOT (PARC NOU),440,228471,421015,0,0,235,0,0,0,59,0,0,0,0,0,0,260,33,39,0,0,0,15,0,0,0,0,0,0,0,0,,,
0390D,1994,3,OLOT (PARC NOU),440,228471,421015,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0,0,322,0,0,0,0,0,0,0,0,0,0
0390D,1994,4,OLOT (PARC NOU),440,228471,421015,24,2,0,0,3,0,0,0,12,0,0,0,182,146,60,0,0,59,94,103,30,0,40,90,0,0,0,0,0,0,
0390D,1994,5,OLOT (PARC NOU),440,228471,421015,0,0,86,0,0,0,37,197,0,0,0,0,98,0,0,0,71,16,0,0,0,0,0,437,0,0,0,0,0,0,0
0390D,1994,6,OLOT (PARC NOU),440,228471,421015,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247,95,0,0,0,0,
0390D,1994,7,OLOT (PARC NOU),440,228471,421015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,0,0,49,0,178,0,0,0,0,51,0,118
0390D,1994,8,OLOT (PARC NOU),440,228471,421015,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,2,0,123,0,0,0,5,0,16,182
0390D,1994,9,OLOT (PARC NOU),440,228471,421015,145,0,0,14,0,0,0,0,0,0,0,66,35,0,0,0,1,0,0,417,121,42,210,0,0,0,70,95,546,289,
0390D,1994,10,OLOT (PARC NOU),440,228471,421015,9,61,2,56,0,0,0,0,286,647,250,39,9,0,79,52,0,4,29,36,0,0,0,6,0,0,50,0,0,0,0
0390D,1994,11,OLOT (PARC NOU),440,228471,421015,0,0,55,259,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,20,20,0,
0390D,1994,12,OLOT (PARC NOU),440,228471,421015,0,525,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,125
0390D,1995,1,OLOT (PARC NOU),440,228471,421015,200,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,107,65,0,0,0,0,0,0,0,0,0,0,0,0,0
0390D,1995,2,OLOT (PARC NOU),440,228471,421015,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,,
0390D,1995,3,OLOT (PARC NOU),440,228471,421015,0,0,17,0,0,0,0,10,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0390D,1995,4,OLOT (PARC NOU),440,228471,421015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,41,5,0,28,0,57,0,0,0,161,0,
0390D,1995,5,OLOT (PARC NOU),440,228471,421015,0,0,0,0,0,0,0,0,124,97,425,104,0,0,0,58,0,83,60,0,0,0,0,0,134,5,0,0,90,45,0
0390D,1995,6,OLOT (PARC NOU),440,228471,421015,0,0,0,18,0,0,0,220,82,50,280,49,0,11,0,132,3,0,0,7,30,0,0,0,0,0,25,3,0,0,
0390D,1995,7,OLOT (PARC NOU),440,228471,421015,0,0,14,462,0,0,0,0,0,0,18,0,0,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,45,80
0390D,1995,8,OLOT (PARC NOU),440,228471,421015,144,0,0,0,0,445,136,0,0,67,0,0,0,0,0,0,0,58,0,42,99,50,77,4,0,0,0,0,0,0,0
0390D,1995,9,OLOT (PARC NOU),440,228471,421015,0,0,0,25,235,0,0,0,0,0,0,253,0,4,7,24,0,260,67,0,181,16,0,0,0,0,0,0,17,0,
0390D,1995,10,OLOT (PARC NOU),440,228471,421015,0,0,0,0,39,0,0,0,0,0,0,56,0,82,0,0,0,6,0,0,0,0,5,0,0,0,0,0,0,0,0
0390D,1995,11,OLOT (PARC NOU),440,228471,421015,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,75,157,0,0,490,82,0,0,0,12,
0390D,1995,12,OLOT (PARC NOU),440,228471,421015,56,86,26,91,0,0,75,218,384,134,0,0,0,0,561,215,0,0,0,0,0,0,0,0,0,0,0,0,12,2,0
0390D,1996,1,OLOT (PARC NOU),440,228471,421015,0,0,0,0,44,99,0,0,293,103,0,5,12,6,0,0,0,0,0,0,76,224,119,180,0,0,112,9,1485,140,40
0390D,1996,2,OLOT (PARC NOU),440,228471,421015,251,8,92,10,0,0,15,0,0,0,0,0,0,0,0,0,0,7,5,20,0,0,0,0,0,2,0,0,0,,
0390D,1996,3,OLOT (PARC NOU),440,228471,421015,0,0,0,0,61,185,0,14,177,7,0,0,0,12,8,0,0,0,0,0,0,0,0,0,0,90,0,0,9,0,0
0390D,1996,4,OLOT (PARC NOU),440,228471,421015,2,0,0,0,0,74,0,0,0,0,4,0,77,2,5,272,5,0,0,0,0,256,0,0,0,33,18,197,56,6,
0390D,1996,5,OLOT (PARC NOU),440,228471,421015,96,0,0,0,3,106,0,203,31,210,165,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0390D,1996,6,OLOT (PARC NOU),440,228471,421015,200,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,93,16,0,0,43,6,23,0,0,0,0,0,
0390D,1996,7,OLOT (PARC NOU),440,228471,421015,0,44,0,0,0,31,0,0,0,0,0,0,8,0,0,0,0,59,0,143,0,0,0,58,0,0,551,0,99,0,0
0390D,1996,8,OLOT (PARC NOU),440,228471,421015,0,212,7,0,0,0,38,0,0,0,23,263,7,12,0,0,0,0,184,0,0,0,0,81,0,185,160,34,20,117,0
0390D,1996,9,OLOT (PARC NOU),440,228471,421015,0,270,20,0,141,0,0,0,0,0,34,28,0,0,0,0,233,11,1,2,232,0,0,0,79,0,0,0,0,0,
